away, away_score, home_score, home, year, week
Bills,42,32,Dolphins,2004,13
Patriots,42,15,Browns,2004,13
Cardinals,12,26,Lions,2004,13
Titans,24,51,Colts,2004,13
Broncos,17,20,Chargers,2004,13
Chiefs,34,27,Raiders,2004,13
Giants,07,31,Redskins,2004,13
Packers,17,47,Eagles,2004,13
Steelers,17,16,Jaguars,2004,13
Cowboys,43,39,Seahawks,2004,13
Raiders,10,35,Falcons,2004,14
Giants,14,37,Ravens,2004,14
Bengals,28,35,Patriots,2004,14
Seahawks,27,23,Vikings,2004,14
Bears,03,22,Jaguars,2004,14
Colts,23,14,Texans,2004,14
Saints,27,13,Cowboys,2004,14
Browns,07,37,Bills,2004,14
Jets,06,17,Steelers,2004,14
Dolphins,17,20,Broncos,2004,14
Buccaneers,24,31,Chargers,2004,14
Rams,07,20,Panthers,2004,14
49ers,31,28,Cardinals,2004,14
Lions,13,16,Packers,2004,14
Eagles,17,14,Redskins,2004,14
Chiefs,49,38,Titans,2004,14
Steelers,33,30,Giants,2004,15
Redskins,26,16,49ers,2004,15
Panthers,31,34,Falcons,2004,15
Bills,33,17,Bengals,2004,15
Texans,24,05,Bears,2004,15
Chargers,21,00,Browns,2004,15
Broncos,17,45,Chiefs,2004,15
Cowboys,07,12,Eagles,2004,15
Seahawks,14,37,Jets,2004,15
Vikings,28,27,Lions,2004,15
Rams,07,31,Cardinals,2004,15
Saints,21,17,Buccaneers,2004,15
Titans,35,40,Raiders,2004,15
Jaguars,28,25,Packers,2004,15
Ravens,10,20,Colts,2004,15
Patriots,28,29,Dolphins,2004,15
Packers,34,31,Vikings,2004,16
Raiders,30,31,Chiefs,2004,16
Broncos,37,16,Titans,2004,16
Texans,21,00,Jaguars,2004,16
Chargers,31,34,Colts,2004,16
Bears,13,19,Lions,2004,16
Giants,22,23,Bengals,2004,16
Falcons,13,26,Saints,2004,16
Ravens,07,20,Steelers,2004,16
Patriots,23,07,Jets,2004,16
Bills,41,07,49ers,2004,16
Redskins,10,13,Cowboys,2004,16
Cardinals,21,24,Seahawks,2004,16
Eagles,07,20,Rams,2004,16
Panthers,37,20,Buccaneers,2004,16
Browns,07,10,Dolphins,2004,16
Dolphins,23,30,Ravens,2004,17
Steelers,29,24,Bills,2004,17
Vikings,18,21,Redskins,2004,17
Lions,19,24,Titans,2004,17
Jets,29,32,Rams,2004,17
Bengals,38,10,Eagles,2004,17
49ers,07,21,Patriots,2004,17
Saints,21,18,Panthers,2004,17
Packers,31,14,Bears,2004,17
Browns,22,14,Texans,2004,17
Falcons,26,28,Seahawks,2004,17
Buccaneers,07,12,Cardinals,2004,17
Chiefs,17,24,Chargers,2004,17
Jaguars,13,06,Raiders,2004,17
Colts,14,33,Broncos,2004,17
Cowboys,24,28,Giants,2004,17
Jets,13,16,Redskins,2003,1
Vikings,30,25,Packers,2003,1
Rams,13,23,Giants,2003,1
Patriots,00,31,Bills,2003,1
Chargers,14,27,Chiefs,2003,1
Jaguars,23,24,Panthers,2003,1
Texans,21,20,Dolphins,2003,1
Ravens,15,34,Steelers,2003,1
Colts,09,06,Browns,2003,1
Cardinals,24,42,Lions,2003,1
Broncos,30,10,Bengals,2003,1
Falcons,27,13,Cowboys,2003,1
Saints,10,27,Seahawks,2003,1
Bears,07,49,49ers,2003,1
Raiders,20,25,Titans,2003,1
Buccaneers,17,00,Eagles,2003,1
Bills,38,17,Jaguars,2003,2
Browns,13,33,Ravens,2003,2
Redskins,33,31,Falcons,2003,2
Titans,07,33,Colts,2003,2
49ers,24,27,Rams,2003,2
Steelers,20,41,Chiefs,2003,2
Dolphins,21,10,Jets,2003,2
Texans,10,31,Saints,2003,2
Lions,06,31,Packers,2003,2
Seahawks,38,00,Cardinals,2003,2
Panthers,12,09,Buccaneers,2003,2
Patriots,31,10,Eagles,2003,2
Broncos,37,13,Chargers,2003,2
Bengals,20,23,Raiders,2003,2
Bears,13,24,Vikings,2003,2
Cowboys,35,32,Giants,2003,2
Chiefs,42,14,Texans,2003,3
Jaguars,13,23,Colts,2003,3
Buccaneers,31,10,Falcons,2003,3
Steelers,17,10,Bengals,2003,3
Vikings,23,13,Lions,2003,3
Saints,12,27,Titans,2003,3
Jets,16,23,Patriots,2003,3
Rams,23,24,Seahawks,2003,3
Giants,24,21,Redskins,2003,3
Packers,13,20,Cardinals,2003,3
Ravens,24,10,Chargers,2003,3
Browns,13,12,49ers,2003,3
Bills,07,17,Dolphins,2003,3
Raiders,10,31,Broncos,2003,3
Patriots,17,20,Redskins,2003,4
Eagles,23,13,Bills,2003,4
Titans,30,13,Steelers,2003,4
Bengals,21,14,Browns,2003,4
Cardinals,13,37,Rams,2003,4
49ers,07,35,Vikings,2003,4
Jaguars,20,24,Texans,2003,4
Chiefs,17,10,Ravens,2003,4
Chargers,31,34,Raiders,2003,4
Cowboys,17,06,Jets,2003,4
Falcons,03,23,Panthers,2003,4
Lions,16,20,Broncos,2003,4
Colts,55,21,Saints,2003,4
Packers,38,23,Bears,2003,4
Seahawks,13,35,Packers,2003,5
Broncos,23,24,Chiefs,2003,5
Vikings,39,26,Falcons,2003,5
Raiders,21,24,Bears,2003,5
Saints,13,19,Panthers,2003,5
Titans,30,38,Patriots,2003,5
Cardinals,07,24,Cowboys,2003,5
Bengals,16,22,Bills,2003,5
Dolphins,23,10,Giants,2003,5
Chargers,21,27,Jaguars,2003,5
Redskins,25,27,Eagles,2003,5
Lions,17,24,49ers,2003,5
Browns,33,13,Steelers,2003,5
Colts,38,35,Buccaneers,2003,5
Eagles,21,23,Cowboys,2003,6
Giants,06,17,Patriots,2003,6
Dolphins,24,10,Jaguars,2003,6
Raiders,07,13,Browns,2003,6
Chiefs,40,34,Packers,2003,6
Panthers,23,20,Colts,2003,6
Texans,17,38,Titans,2003,6
Bears,13,20,Saints,2003,6
Buccaneers,35,13,Redskins,2003,6
Steelers,14,17,Broncos,2003,6
Ravens,26,18,Cardinals,2003,6
Bills,03,30,Jets,2003,6
49ers,19,20,Seahawks,2003,6
Falcons,00,36,Rams,2003,6
Ravens,26,34,Bengals,2003,7
Broncos,20,28,Vikings,2003,7
Patriots,19,13,Dolphins,2003,7
Eagles,14,10,Giants,2003,7
Saints,45,17,Falcons,2003,7
Titans,37,17,Panthers,2003,7
Chargers,26,20,Browns,2003,7
Cowboys,38,07,Lions,2003,7
Packers,24,34,Rams,2003,7
Jets,19,14,Texans,2003,7
Buccaneers,07,24,49ers,2003,7
Redskins,07,24,Bills,2003,7
Bears,17,24,Seahawks,2003,7
Chiefs,17,10,Raiders,2003,7
Lions,16,24,Bears,2003,8
Browns,03,09,Patriots,2003,8
Broncos,06,26,Ravens,2003,8
Giants,29,17,Vikings,2003,8
Cowboys,00,16,Buccaneers,2003,8
Rams,33,21,Steelers,2003,8
Titans,30,17,Jaguars,2003,8
Seahawks,24,27,Bengals,2003,8
Panthers,23,20,Saints,2003,8
49ers,13,16,Cardinals,2003,8
Texans,21,30,Colts,2003,8
Jets,17,24,Eagles,2003,8
Bills,05,38,Chiefs,2003,8
Dolphins,26,10,Chargers,2003,8
Colts,23,17,Dolphins,2003,9
Raiders,13,23,Lions,2003,9
Giants,31,28,Jets,2003,9
Chargers,07,20,Bears,2003,9
Saints,17,14,Buccaneers,2003,9
Jaguars,17,24,Ravens,2003,9
Panthers,10,14,Texans,2003,9
Steelers,16,23,Seahawks,2003,9
Bengals,14,17,Cardinals,2003,9
Redskins,14,21,Cowboys,2003,9
Rams,10,30,49ers,2003,9
Eagles,23,16,Falcons,2003,9
Packers,30,27,Vikings,2003,9
Patriots,30,26,Broncos,2003,9
Seahawks,20,27,Redskins,2003,10
Bears,10,12,Lions,2003,10
Texans,27,34,Bengals,2003,10
Dolphins,07,31,Titans,2003,10
Colts,23,28,Jaguars,2003,10
Buccaneers,24,27,Panthers,2003,10
Cardinals,15,28,Steelers,2003,10
Falcons,27,07,Giants,2003,10
Browns,20,41,Chiefs,2003,10
Vikings,28,42,Chargers,2003,10
Jets,27,24,Raiders,2003,10
Bills,06,10,Cowboys,2003,10
Ravens,22,33,Rams,2003,10
Eagles,17,14,Packers,2003,10
Texans,12,10,Bills,2003,11
Ravens,06,09,Dolphins,2003,11
Jaguars,03,10,Titans,2003,11
Giants,10,28,Eagles,2003,11
Falcons,20,23,Saints,2003,11
Chiefs,19,24,Bengals,2003,11
Cardinals,06,44,Browns,2003,11
Rams,23,21,Bears,2003,11
Redskins,17,20,Panthers,2003,11
Jets,31,38,Colts,2003,11
Chargers,08,37,Broncos,2003,11
Packers,20,13,Buccaneers,2003,11
Vikings,18,28,Raiders,2003,11
Lions,14,35,Seahawks,2003,11
Cowboys,00,12,Patriots,2003,11
Steelers,14,30,49ers,2003,11
Jaguars,10,13,Jets,2003,12
Colts,17,14,Bills,2003,12
Patriots,23,20,Texans,2003,12
Steelers,13,06,Browns,2003,12
Lions,14,24,Vikings,2003,12
Saints,20,33,Eagles,2003,12
Panthers,20,24,Cowboys,2003,12
Seahawks,41,44,Ravens,2003,12
49ers,10,20,Packers,2003,12
Bears,19,10,Broncos,2003,12
Rams,30,27,Cardinals,2003,12
Raiders,24,27,Chiefs,2003,12
Titans,38,31,Falcons,2003,12
Bengals,34,27,Chargers,2003,12
Redskins,23,24,Dolphins,2003,12
Giants,13,19,Buccaneers,2003,12
Packers,14,22,Lions,2003,13
Dolphins,40,21,Cowboys,2003,13
Vikings,17,48,Rams,2003,13
Bengals,24,20,Steelers,2003,13
Bills,24,07,Giants,2003,13
Cardinals,03,28,Bears,2003,13
Eagles,25,16,Panthers,2003,13
49ers,06,44,Ravens,2003,13
Patriots,38,34,Colts,2003,13
Falcons,13,17,Texans,2003,13
Saints,24,20,Redskins,2003,13
Broncos,22,08,Raiders,2003,13
Chiefs,28,24,Chargers,2003,13
Browns,07,34,Seahawks,2003,13
Buccaneers,10,17,Jaguars,2003,13
Titans,17,24,Jets,2003,13
Bears,21,34,Packers,2003,14
Cowboys,10,36,Eagles,2003,14
Redskins,20,07,Giants,2003,14
Buccaneers,14,07,Saints,2003,14
Seahawks,07,34,Vikings,2003,14
Raiders,07,27,Steelers,2003,14
Texans,00,27,Jaguars,2003,14
Colts,29,27,Titans,2003,14
Chargers,14,07,Lions,2003,14
Bengals,13,31,Ravens,2003,14
Cardinals,14,50,49ers,2003,14
Chiefs,27,45,Broncos,2003,14
Jets,06,17,Bills,2003,14
Dolphins,00,12,Patriots,2003,14
Panthers,14,20,Falcons,2003,14
Rams,26,20,Browns,2003,14
Falcons,07,38,Colts,2003,15
49ers,38,41,Bengals,2003,15
Texans,03,16,Buccaneers,2003,15
Vikings,10,13,Bears,2003,15
Lions,17,45,Chiefs,2003,15
Steelers,00,06,Jets,2003,15
Jaguars,13,27,Patriots,2003,15
Bills,26,28,Titans,2003,15
Seahawks,22,27,Rams,2003,15
Ravens,12,20,Raiders,2003,15
Browns,20,23,Broncos,2003,15
Cowboys,27,00,Redskins,2003,15
Packers,38,21,Chargers,2003,15
Panthers,20,17,Cardinals,2003,15
Giants,07,45,Saints,2003,15
Eagles,34,27,Dolphins,2003,15
Falcons,30,28,Buccaneers,2003,16
Chiefs,20,45,Vikings,2003,16
Patriots,21,16,Jets,2003,16
Titans,27,24,Texans,2003,16
Redskins,24,27,Bears,2003,16
Giants,03,19,Cowboys,2003,16
Bengals,10,27,Rams,2003,16
Dolphins,20,03,Bills,2003,16
Lions,14,20,Panthers,2003,16
Ravens,35,00,Browns,2003,16
Saints,19,20,Jaguars,2003,16
Chargers,24,40,Steelers,2003,16
Cardinals,10,28,Seahawks,2003,16
49ers,31,28,Eagles,2003,16
Broncos,31,17,Colts,2003,16
Packers,41,07,Raiders,2003,16
Bills,00,31,Patriots,2003,17
Seahawks,24,17,49ers,2003,17
Eagles,31,07,Redskins,2003,17
Rams,20,30,Lions,2003,17
Jets,21,23,Dolphins,2003,17
Colts,20,17,Texans,2003,17
Jaguars,14,21,Falcons,2003,17
Browns,22,14,Bengals,2003,17
Cowboys,07,13,Saints,2003,17
Bears,03,31,Chiefs,2003,17
Buccaneers,13,33,Titans,2003,17
Panthers,37,24,Giants,2003,17
Vikings,17,18,Cardinals,2003,17
Raiders,14,21,Chargers,2003,17
Broncos,03,31,Packers,2003,17
Steelers,10,13,Ravens,2003,17
49ers,16,13,Giants,2002,1
Cardinals,23,31,Redskins,2002,1
Vikings,23,27,Bears,2002,1
Chiefs,40,39,Browns,2002,1
Colts,28,25,Jaguars,2002,1
Lions,21,49,Dolphins,2002,1
Jets,37,31,Bills,2002,1
Falcons,34,37,Packers,2002,1
Eagles,24,27,Titans,2002,1
Ravens,07,10,Panthers,2002,1
Chargers,34,06,Bengals,2002,1
Rams,16,23,Broncos,2002,1
Saints,26,20,Buccaneers,2002,1
Seahawks,17,31,Raiders,2002,1
Cowboys,10,19,Texans,2002,1
Steelers,14,30,Patriots,2002,1
Dolphins,21,13,Colts,2002,2
Buccaneers,25,00,Ravens,2002,2
Bengals,07,20,Browns,2002,2
Titans,13,21,Cowboys,2002,2
Jaguars,23,16,Chiefs,2002,2
Bears,14,13,Falcons,2002,2
Packers,20,35,Saints,2002,2
Patriots,44,07,Jets,2002,2
Lions,07,31,Panthers,2002,2
Cardinals,24,13,Seahawks,2002,2
Giants,26,21,Rams,2002,2
Broncos,24,14,49ers,2002,2
Texans,03,24,Chargers,2002,2
Bills,45,39,Vikings,2002,2
Raiders,30,17,Steelers,2002,2
Eagles,37,07,Redskins,2002,2
Browns,31,28,Titans,2002,3
Jets,03,30,Dolphins,2002,3
Chiefs,38,41,Patriots,2002,3
Colts,23,03,Texans,2002,3
Panthers,21,14,Vikings,2002,3
Saints,29,23,Bears,2002,3
Cowboys,13,44,Eagles,2002,3
Chargers,23,15,Cardinals,2002,3
Bills,23,28,Broncos,2002,3
Seahawks,06,09,Giants,2002,3
Packers,37,31,Lions,2002,3
Redskins,10,20,49ers,2002,3
Bengals,03,30,Falcons,2002,3
Rams,14,26,Buccaneers,2002,3
Panthers,14,17,Packers,2002,4
Jets,03,28,Jaguars,2002,4
Bears,27,33,Bills,2002,4
Cowboys,13,10,Rams,2002,4
Dolphins,30,48,Chiefs,2002,4
Saints,21,26,Lions,2002,4
Texans,17,35,Eagles,2002,4
Browns,13,16,Steelers,2002,4
Buccaneers,35,07,Bengals,2002,4
Giants,07,21,Cardinals,2002,4
Patriots,14,21,Chargers,2002,4
Titans,25,52,Raiders,2002,4
Vikings,23,48,Seahawks,2002,4
Broncos,23,34,Ravens,2002,4
Cardinals,16,13,Panthers,2002,5
Redskins,31,14,Titans,2002,5
Bengals,21,28,Colts,2002,5
Giants,21,17,Cowboys,2002,5
Buccaneers,20,06,Falcons,2002,5
Steelers,29,32,Saints,2002,5
Raiders,49,31,Bills,2002,5
Patriots,13,26,Dolphins,2002,5
Chargers,09,26,Broncos,2002,5
Chiefs,29,25,Jets,2002,5
Eagles,25,28,Jaguars,2002,5
Rams,13,37,49ers,2002,5
Ravens,26,21,Browns,2002,5
Packers,34,21,Bears,2002,5
Falcons,17,10,Giants,2002,6
Saints,43,27,Redskins,2002,6
Ravens,20,22,Colts,2002,6
Steelers,34,07,Bengals,2002,6
Bills,31,24,Texans,2002,6
Browns,03,17,Buccaneers,2002,6
Panthers,13,14,Cowboys,2002,6
Packers,28,10,Patriots,2002,6
Lions,24,31,Vikings,2002,6
Raiders,13,28,Rams,2002,6
Jaguars,14,23,Titans,2002,6
Chiefs,34,35,Chargers,2002,6
Dolphins,24,22,Broncos,2002,6
49ers,28,21,Seahawks,2002,6
Bills,23,10,Dolphins,2002,7
49ers,27,35,Saints,2002,7
Panthers,00,30,Falcons,2002,7
Broncos,37,34,Chiefs,2002,7
Seahawks,20,37,Rams,2002,7
Vikings,07,20,Jets,2002,7
Jaguars,10,17,Ravens,2002,7
Bears,20,23,Lions,2002,7
Chargers,27,21,Raiders,2002,7
Texans,17,34,Browns,2002,7
Redskins,09,30,Packers,2002,7
Cowboys,06,09,Cardinals,2002,7
Buccaneers,10,20,Eagles,2002,7
Colts,10,28,Steelers,2002,7
Steelers,31,18,Ravens,2002,8
Bears,07,25,Vikings,2002,8
Raiders,10,20,Chiefs,2002,8
Lions,17,24,Bills,2002,8
Browns,24,21,Jets,2002,8
Titans,30,24,Bengals,2002,8
Falcons,37,35,Saints,2002,8
Seahawks,17,14,Cowboys,2002,8
Buccaneers,12,09,Panthers,2002,8
Cardinals,28,38,49ers,2002,8
Broncos,24,16,Patriots,2002,8
Texans,21,19,Jaguars,2002,8
Giants,03,17,Eagles,2002,8
Colts,21,26,Redskins,2002,8
Ravens,17,20,Falcons,2002,9
Bengals,38,03,Texans,2002,9
Titans,23,15,Colts,2002,9
Vikings,24,38,Buccaneers,2002,9
Eagles,19,13,Bears,2002,9
Steelers,23,20,Browns,2002,9
Patriots,38,07,Bills,2002,9
Cowboys,07,09,Lions,2002,9
Jets,44,13,Chargers,2002,9
Rams,27,14,Cardinals,2002,9
49ers,23,20,Raiders,2002,9
Redskins,14,03,Seahawks,2002,9
Jaguars,17,24,Giants,2002,9
Dolphins,10,24,Packers,2002,9
Falcons,34,34,Steelers,2002,10
Chargers,24,28,Rams,2002,10
Bengals,27,38,Ravens,2002,10
Texans,10,17,Titans,2002,10
Giants,27,20,Vikings,2002,10
Saints,34,24,Panthers,2002,10
Colts,35,13,Eagles,2002,10
Lions,14,40,Packers,2002,10
Redskins,07,26,Jaguars,2002,10
Seahawks,27,06,Cardinals,2002,10
Chiefs,13,17,49ers,2002,10
Patriots,33,30,Bears,2002,10
Dolphins,10,13,Jets,2002,10
Raiders,34,10,Broncos,2002,10
Cardinals,14,38,Eagles,2002,11
Redskins,17,19,Giants,2002,11
Saints,17,24,Falcons,2002,11
Bills,16,17,Chiefs,2002,11
Browns,27,20,Bengals,2002,11
Packers,21,31,Vikings,2002,11
Jaguars,24,21,Texans,2002,11
Cowboys,03,20,Colts,2002,11
Steelers,23,31,Titans,2002,11
49ers,17,20,Chargers,2002,11
Panthers,10,23,Buccaneers,2002,11
Jets,31,14,Lions,2002,11
Ravens,07,26,Dolphins,2002,11
Broncos,31,09,Seahawks,2002,11
Patriots,20,27,Raiders,2002,11
Bears,16,21,Rams,2002,11
Falcons,41,00,Panthers,2002,12
Chargers,03,30,Dolphins,2002,12
Vikings,17,24,Patriots,2002,12
Jaguars,19,21,Cowboys,2002,12
Rams,17,20,Redskins,2002,12
Lions,17,20,Bears,2002,12
Browns,24,15,Saints,2002,12
Bills,13,31,Jets,2002,12
Titans,12,13,Ravens,2002,12
Bengals,21,29,Steelers,2002,12
Chiefs,32,39,Seahawks,2002,12
Raiders,41,20,Cardinals,2002,12
Packers,07,21,Buccaneers,2002,12
Giants,14,16,Texans,2002,12
Colts,23,20,Broncos,2002,12
Eagles,38,17,49ers,2002,12
Patriots,20,12,Lions,2002,13
Redskins,20,27,Cowboys,2002,13
Steelers,25,23,Jaguars,2002,13
Titans,32,29,Giants,2002,13
Ravens,27,23,Bengals,2002,13
Dolphins,21,38,Bills,2002,13
Panthers,13,06,Browns,2002,13
Cardinals,00,49,Chiefs,2002,13
Bears,20,30,Packers,2002,13
Falcons,30,24,Vikings,2002,13
Texans,03,19,Colts,2002,13
Broncos,27,30,Chargers,2002,13
Rams,03,10,Eagles,2002,13
Seahawks,24,31,49ers,2002,13
Buccaneers,20,23,Saints,2002,13
Jets,20,26,Raiders,2002,13
Falcons,10,34,Buccaneers,2002,14
Rams,10,49,Chiefs,2002,14
49ers,31,27,Cowboys,2002,14
Giants,27,21,Redskins,2002,14
Colts,17,27,Titans,2002,14
Texans,24,06,Steelers,2002,14
Browns,21,20,Jaguars,2002,14
Bengals,31,52,Panthers,2002,14
Bills,17,27,Patriots,2002,14
Eagles,27,20,Seahawks,2002,14
Saints,37,25,Ravens,2002,14
Lions,20,23,Cardinals,2002,14
Broncos,13,19,Jets,2002,14
Raiders,27,07,Chargers,2002,14
Vikings,22,26,Packers,2002,14
Bears,09,27,Dolphins,2002,14
Ravens,23,19,Texans,2002,15
Seahawks,30,24,Falcons,2002,15
Panthers,14,30,Steelers,2002,15
Buccaneers,23,20,Lions,2002,15
Colts,28,23,Browns,2002,15
Jets,13,20,Bears,2002,15
Jaguars,29,15,Bengals,2002,15
Chargers,13,20,Bills,2002,15
Vikings,32,31,Saints,2002,15
Raiders,17,23,Dolphins,2002,15
Redskins,21,34,Eagles,2002,15
Chiefs,24,31,Broncos,2002,15
Packers,20,14,49ers,2002,15
Cowboys,07,37,Giants,2002,15
Cardinals,28,30,Rams,2002,15
Patriots,07,24,Titans,2002,15
Dolphins,17,20,Vikings,2002,16
49ers,17,14,Cardinals,2002,16
Eagles,27,03,Cowboys,2002,16
Titans,28,10,Jaguars,2002,16
Bears,14,24,Panthers,2002,16
Chargers,22,24,Chiefs,2002,16
Bills,00,10,Packers,2002,16
Lions,15,36,Falcons,2002,16
Giants,44,27,Colts,2002,16
Saints,13,20,Bengals,2002,16
Texans,10,26,Redskins,2002,16
Rams,10,30,Seahawks,2002,16
Browns,14,13,Ravens,2002,16
Broncos,16,28,Raiders,2002,16
Jets,30,17,Patriots,2002,16
Steelers,17,07,Buccaneers,2002,16
Eagles,07,10,Giants,2002,17
Chiefs,00,24,Raiders,2002,17
Panthers,10,06,Saints,2002,17
Bengals,09,27,Bills,2002,17
Falcons,16,24,Browns,2002,17
Titans,13,03,Texans,2002,17
Ravens,31,34,Steelers,2002,17
Vikings,38,36,Lions,2002,17
Dolphins,24,27,Patriots,2002,17
Cowboys,14,20,Redskins,2002,17
Jaguars,13,20,Colts,2002,17
Cardinals,07,37,Broncos,2002,17
Seahawks,31,28,Chargers,2002,17
Packers,17,42,Jets,2002,17
Buccaneers,15,00,Bears,2002,17
49ers,20,31,Rams,2002,17
Panthers,24,13,Vikings,2001,1
Buccaneers,10,06,Cowboys,2001,1
Seahawks,09,06,Browns,2001,1
Steelers,03,21,Jaguars,2001,1
Raiders,27,24,Chiefs,2001,1
Bears,06,17,Ravens,2001,1
Lions,06,28,Packers,2001,1
Colts,45,24,Jets,2001,1
Patriots,17,23,Bengals,2001,1
Saints,24,06,Bills,2001,1
Redskins,03,30,Chargers,2001,1
Rams,20,17,Eagles,2001,1
Falcons,13,16,49ers,2001,1
Dolphins,31,23,Titans,2001,1
Giants,20,31,Broncos,2001,1
Titans,06,13,Jaguars,2001,2
Panthers,16,24,Falcons,2001,2
Bills,26,42,Colts,2001,2
Raiders,15,18,Dolphins,2001,2
Chargers,32,21,Cowboys,2001,2
Lions,14,24,Browns,2001,2
Giants,13,03,Chiefs,2001,2
Vikings,10,17,Bears,2001,2
Ravens,10,21,Bengals,2001,2
Jets,10,03,Patriots,2001,2
Eagles,27,03,Seahawks,2001,2
Rams,30,26,49ers,2001,2
Broncos,38,17,Cardinals,2001,2
Redskins,00,37,Packers,2001,2
Chiefs,45,13,Redskins,2001,3
Buccaneers,16,20,Vikings,2001,3
Steelers,20,03,Bills,2001,3
Saints,13,21,Giants,2001,3
Dolphins,10,42,Rams,2001,3
Colts,13,44,Patriots,2001,3
Packers,28,07,Panthers,2001,3
Falcons,34,14,Cardinals,2001,3
Seahawks,14,38,Raiders,2001,3
Browns,23,14,Jaguars,2001,3
Bengals,14,28,Chargers,2001,3
Ravens,20,13,Broncos,2001,3
Cowboys,18,40,Eagles,2001,3
49ers,19,17,Jets,2001,3
Cardinals,21,20,Eagles,2001,4
Bears,31,03,Falcons,2001,4
Redskins,09,23,Giants,2001,4
Titans,07,26,Ravens,2001,4
Chargers,16,20,Browns,2001,4
Patriots,10,30,Dolphins,2001,4
Vikings,15,28,Saints,2001,4
Bengals,07,16,Steelers,2001,4
Chiefs,06,20,Broncos,2001,4
Jaguars,15,24,Seahawks,2001,4
Jets,42,36,Bills,2001,4
Cowboys,21,28,Raiders,2001,4
Packers,10,14,Buccaneers,2001,4
Panthers,14,24,49ers,2001,4
Rams,35,00,Lions,2001,4
Cardinals,13,20,Bears,2001,5
Ravens,23,31,Packers,2001,5
Browns,14,24,Bengals,2001,5
Saints,27,25,Panthers,2001,5
Buccaneers,28,31,Titans,2001,5
49ers,37,31,Falcons,2001,5
Chargers,26,29,Patriots,2001,5
Lions,26,31,Vikings,2001,5
Giants,14,15,Rams,2001,5
Steelers,20,17,Chiefs,2001,5
Dolphins,17,21,Jets,2001,5
Broncos,21,34,Seahawks,2001,5
Raiders,23,18,Colts,2001,5
Redskins,07,09,Cowboys,2001,5
Bills,13,10,Jaguars,2001,6
Ravens,14,24,Browns,2001,6
Panthers,14,17,Redskins,2001,6
Steelers,17,10,Buccaneers,2001,6
Rams,34,14,Jets,2001,6
Titans,27,24,Lions,2001,6
Falcons,20,13,Saints,2001,6
Bears,24,00,Bengals,2001,6
Patriots,38,17,Colts,2001,6
Chiefs,16,24,Cardinals,2001,6
Broncos,10,27,Chargers,2001,6
Packers,13,35,Vikings,2001,6
Eagles,10,09,Giants,2001,6
Colts,35,28,Chiefs,2001,7
Vikings,14,41,Buccaneers,2001,7
49ers,31,37,Bears,2001,7
Jets,13,12,Panthers,2001,7
Saints,34,31,Rams,2001,7
Jaguars,17,18,Ravens,2001,7
Bengals,31,27,Lions,2001,7
Giants,21,35,Redskins,2001,7
Cardinals,03,17,Cowboys,2001,7
Patriots,20,31,Broncos,2001,7
Dolphins,24,20,Seahawks,2001,7
Raiders,20,10,Eagles,2001,7
Bills,24,27,Chargers,2001,7
Titans,07,34,Steelers,2001,7
Ravens,13,10,Steelers,2001,8
Panthers,06,23,Dolphins,2001,8
Jaguars,24,28,Titans,2001,8
Buccaneers,20,21,Packers,2001,8
Patriots,24,10,Falcons,2001,8
Colts,30,14,Bills,2001,8
Cowboys,24,27,Giants,2001,8
Lions,13,21,49ers,2001,8
Eagles,21,07,Cardinals,2001,8
Chiefs,25,20,Chargers,2001,8
Seahawks,14,27,Redskins,2001,8
Browns,21,27,Bears,2001,8
Jets,16,09,Saints,2001,8
Broncos,28,38,Raiders,2001,8
Packers,20,12,Bears,2001,9
Steelers,15,12,Browns,2001,9
Bengals,13,30,Jaguars,2001,9
Cowboys,13,20,Falcons,2001,9
Panthers,14,48,Rams,2001,9
Dolphins,27,24,Colts,2001,9
Chiefs,07,27,Jets,2001,9
Buccaneers,20,17,Lions,2001,9
Bills,11,21,Patriots,2001,9
Chargers,16,26,Broncos,2001,9
Giants,17,10,Cardinals,2001,9
Saints,27,28,49ers,2001,9
Vikings,17,48,Eagles,2001,9
Raiders,27,34,Seahawks,2001,9
Ravens,16,10,Titans,2001,9
Seahawks,23,20,Bills,2001,10
Titans,20,07,Bengals,2001,10
Browns,27,17,Ravens,2001,10
Falcons,23,20,Packers,2001,10
49ers,25,22,Panthers,2001,10
Colts,20,34,Saints,2001,10
Eagles,36,03,Cowboys,2001,10
Jets,24,00,Dolphins,2001,10
Chargers,24,34,Raiders,2001,10
Jaguars,07,20,Steelers,2001,10
Lions,38,45,Cardinals,2001,10
Bears,27,24,Buccaneers,2001,10
Redskins,17,10,Broncos,2001,10
Rams,24,17,Patriots,2001,10
Giants,16,28,Vikings,2001,10
Packers,29,27,Lions,2001,11
Dolphins,34,27,Bills,2001,11
Broncos,26,24,Cowboys,2001,11
Bengals,00,18,Browns,2001,11
Falcons,10,07,Panthers,2001,11
Ravens,24,21,Jaguars,2001,11
Redskins,13,03,Eagles,2001,11
Seahawks,07,19,Chiefs,2001,11
49ers,40,21,Colts,2001,11
Steelers,34,24,Titans,2001,11
Cardinals,20,17,Chargers,2001,11
Saints,17,34,Patriots,2001,11
Raiders,28,10,Giants,2001,11
Bears,13,06,Vikings,2001,11
Buccaneers,24,17,Rams,2001,11
Eagles,23,10,Chiefs,2001,12
Panthers,23,27,Saints,2001,12
Buccaneers,16,13,Bengals,2001,12
